ImageID,ImageURL,accuracy,label
9a06cfc8-753e-40d0-ae63-e98721e9d5d9,s3://dic-2024s/9a06cfc8-753e-40d0-ae63-e98721e9d5d9,0.6586999,person
9a06cfc8-753e-40d0-ae63-e98721e9d5d9,s3://dic-2024s/9a06cfc8-753e-40d0-ae63-e98721e9d5d9,0.9592578,person
9a06cfc8-753e-40d0-ae63-e98721e9d5d9,s3://dic-2024s/9a06cfc8-753e-40d0-ae63-e98721e9d5d9,0.62055224,skateboard
b2edbd6a-3e21-4674-a1e1-db8d0de0470e,s3://dic-2024s/b2edbd6a-3e21-4674-a1e1-db8d0de0470e,0.57561,person
b2edbd6a-3e21-4674-a1e1-db8d0de0470e,s3://dic-2024s/b2edbd6a-3e21-4674-a1e1-db8d0de0470e,0.8562844,person
b2edbd6a-3e21-4674-a1e1-db8d0de0470e,s3://dic-2024s/b2edbd6a-3e21-4674-a1e1-db8d0de0470e,0.50781786,person
b2edbd6a-3e21-4674-a1e1-db8d0de0470e,s3://dic-2024s/b2edbd6a-3e21-4674-a1e1-db8d0de0470e,0.529337,person
b2edbd6a-3e21-4674-a1e1-db8d0de0470e,s3://dic-2024s/b2edbd6a-3e21-4674-a1e1-db8d0de0470e,0.75358164,person
b2edbd6a-3e21-4674-a1e1-db8d0de0470e,s3://dic-2024s/b2edbd6a-3e21-4674-a1e1-db8d0de0470e,0.695344,person
d70e40da-952b-4884-9a8a-f5e9ddb523f7,s3://dic-2024s/d70e40da-952b-4884-9a8a-f5e9ddb523f7,,
c673a75b-8ae4-402b-856d-1ddc8937a066,s3://dic-2024s/c673a75b-8ae4-402b-856d-1ddc8937a066,,
aed57c1e-f733-4256-a8a7-aa5a84ebd3da,s3://dic-2024s/aed57c1e-f733-4256-a8a7-aa5a84ebd3da,,
d03ed164-a8e7-43f4-b3dd-69aaab988483,s3://dic-2024s/d03ed164-a8e7-43f4-b3dd-69aaab988483,0.6395581,cow
e5a43426-81cf-472d-ae68-f1da2fd0d3f6,s3://dic-2024s/e5a43426-81cf-472d-ae68-f1da2fd0d3f6,0.71092606,person
e5a43426-81cf-472d-ae68-f1da2fd0d3f6,s3://dic-2024s/e5a43426-81cf-472d-ae68-f1da2fd0d3f6,0.578137,person
e5a43426-81cf-472d-ae68-f1da2fd0d3f6,s3://dic-2024s/e5a43426-81cf-472d-ae68-f1da2fd0d3f6,0.80861497,person
e5a43426-81cf-472d-ae68-f1da2fd0d3f6,s3://dic-2024s/e5a43426-81cf-472d-ae68-f1da2fd0d3f6,0.6294313,person
71763607-ff26-4a2c-a8e4-0916bebfe301,s3://dic-2024s/71763607-ff26-4a2c-a8e4-0916bebfe301,0.8320178,clock
1e205499-4591-44a6-8531-fb1ef4d9a705,s3://dic-2024s/1e205499-4591-44a6-8531-fb1ef4d9a705,0.95139086,tvmonitor
1e205499-4591-44a6-8531-fb1ef4d9a705,s3://dic-2024s/1e205499-4591-44a6-8531-fb1ef4d9a705,0.6008953,person
1e205499-4591-44a6-8531-fb1ef4d9a705,s3://dic-2024s/1e205499-4591-44a6-8531-fb1ef4d9a705,0.8826244,tvmonitor
1e205499-4591-44a6-8531-fb1ef4d9a705,s3://dic-2024s/1e205499-4591-44a6-8531-fb1ef4d9a705,0.64059746,tvmonitor
